word1,word2,frame_overlap,frame_distance
money,transaction.,0.0,inf
temple,located,0.0,inf
temple,state,0.0,inf
temple,west,0.0,inf
located,state,0.0,inf
located,west,0.0,inf
state,west,0.0,inf
appear,tender,0.0,inf
appear,area,0.0,inf
appear,child.,0.0,inf
tender,area,0.0,inf
tender,child.,0.0,inf
area,child.,0.0,inf
deliver,goods,0.0,inf
deliver,different,0.0,inf
deliver,people.,0.0,inf
goods,different,0.0,inf
goods,people.,0.0,inf
different,people.,0.0,inf
protocol,used,0.0,inf
protocol,mobile,0.0,inf
protocol,system,0.0,inf
protocol,frame,0.0,inf
protocol,radio,0.0,inf
protocol,network,0.0,inf
protocol,ue,0.0,inf
used,mobile,0.0,inf
used,system,0.0,inf
used,frame,0.0,inf
used,radio,0.0,inf
used,network,0.0,inf
used,ue,0.018518518518518517,0
mobile,system,0.0,inf
mobile,frame,0.0,inf
mobile,radio,0.0,inf
mobile,network,0.0,inf
mobile,ue,0.0,inf
system,frame,0.0,inf
system,radio,0.0,inf
system,network,0.0,inf
system,ue,0.0,inf
frame,radio,0.0,inf
frame,network,0.0,inf
frame,ue,0.0,inf
radio,network,0.0,inf
radio,ue,0.0,inf
network,ue,0.0,inf
unable,perform,0.0,inf
unable,function,0.0,inf
perform,function,0.0,inf
hindi,word,0.0,inf
thin,lung,0.0,inf
thin,lines,0.0,inf
lung,lines,0.0,inf
amount,assistance,0.0,inf
amount,-,0.0,inf
amount,one,0.0,inf
amount,time,0.0,inf
amount,only.,0.0,inf
assistance,-,0.0,inf
assistance,one,0.0,inf
assistance,time,0.0,inf
assistance,only.,0.0,inf
-,one,0.06565656565656566,0
-,time,0.010101010101010102,0
-,only.,0.0,inf
one,time,0.043010752688172046,0
one,only.,0.010752688172043012,0
time,only.,0.0,inf
stage,growth,0.0,inf
stage,economic,0.0,inf
growth,economic,0.0,inf
instrument,strength,0.0,inf
instrument,overnight,0.0,inf
instrument,call,0.0,inf
instrument,money,0.0,inf
strength,overnight,0.0,inf
strength,call,0.0,inf
strength,money,0.0,inf
overnight,call,0.0,inf
overnight,money,0.0,inf
call,money,0.0,inf
way,someone,0.02,0
way,something,0.02,0
way,loud,0.0,inf
way,possibly,0.0,inf
way,can.,0.0,inf
someone,something,0.0,inf
someone,loud,0.0,inf
someone,possibly,0.0,inf
someone,can.,0.0,inf
something,loud,0.0,inf
something,possibly,0.0,inf
something,can.,0.0,inf
loud,possibly,0.0,inf
loud,can.,0.0,inf
possibly,can.,0.07142857142857142,0
focus,close,0.0,inf
focus,object,0.0,inf
close,object,0.0,inf
part,armed,0.0,inf
part,forces,0.0,inf
part,command,0.0,inf
part,someone.,0.0,inf
armed,forces,0.2,0
armed,command,0.0,inf
armed,someone.,0.0,inf
forces,command,0.0,inf
forces,someone.,0.0,inf
command,someone.,0.0,inf
brain,structure.,0.0,inf
way,describe,0.0,inf
way,set,0.02,0
way,painted,0.0,inf
describe,set,0.0,inf
describe,painted,0.0,inf
set,painted,0.0,inf
force,process,0.0,inf
